Timestamp,What is your primary role within the organization? ,What is the approximate headcount of your organization? ,Which description best matches your current data architecture? ,What is your primary cloud strategy? ,How would you rate the difficulty of enforcing consistent security policies across your data estate?,"In a decentralized or self-service environment, what is your biggest governance challenge? ",How does your organization currently manage Cloud/Data Platform costs? ,"To what extent do ""orphaned resources"" (e.g., idle clusters, unreferenced storage) contribute to your cloud waste? ",Which factor most hinders your ability to move workloads between cloud providers? ,"Are you currently adopting ""Open Table Formats"" (e.g., Apache Iceberg, Delta Lake) specifically to avoid vendor lock-in? ","If you are currently adopting or evaluating Open Table Formats, which format(s) are you primarily targeting?","Are you evaluating or participating in Data Spaces (e.g., IDSA, Gaia-X) for secure, sovereign data sharing between organizations? ","If you are evaluating or participating in Data Spaces, which initiative(s) are involved?","How do you assess the potential of ""AI-Native"" Data Warehouses (which integrate Generative AI for query optimization and natural language interfaces) in your future roadmap?","Which of the following ""missing tools"" would provide the highest value to your organization today? ","If a functional prototype was developed to address the challenge selected above, would you be interested in seeing a case study on it? ",(Optional) Is there any other critical friction point in your Cloud Data Platform that was not mentioned above? 
3/4/2026 14:53:42,VP of Engineering / Infrastructure,"10,000 – 49,999",Lakehouse: Unified architecture supporting ACID transactions and combined BI/ML workloads,"Single Cloud (100% on AWS, Azure, or Google Cloud)",3,Inconsistent access control (IAM) across different domains,"Proactive: We use quotas and budget alerts, but optimization is manual",4,Data Gravity (the volume of data is too massive to move),We are currently evaluating them,Delta Lake,"No, not interested / not applicable",,Transformational (High Priority),Idle Resource Auto-Termination: A script that identifies and decommissions underutilized resources automatically,Maybe,
3/5/2026 11:08:15,Lead Data Architect / Principal Engineer,"100,000+",Legacy/Monolithic: On-premise Enterprise Data Warehouses (EDW) with rigid schemas,Hybrid Cloud (On-premise + Cloud),4,Ensuring regulatory compliance (GDPR/HIPAA) across independent teams,"Reactive: We analyze bills at the end of the month and investigate spikes (""Bill Shock"")",5,Proprietary formats (reliance on specific engines like Redshift/BigQuery),Yes,Apache Hudi,We are currently evaluating,Gaia-X,Low priority,Idle Resource Auto-Termination: A script that identifies and decommissions underutilized resources automatically,Yes,
3/5/2026 17:35:58,CTO / CIO / CDO / CEO,"Less than 5,000",Lakehouse: Unified architecture supporting ACID transactions and combined BI/ML workloads,"Single Cloud (100% on AWS, Azure, or Google Cloud)",3,Lack of visibility into who is accessing what data,"Reactive: We analyze bills at the end of the month and investigate spikes (""Bill Shock"")",5,Data Gravity (the volume of data is too massive to move),We are currently evaluating them,Apache Iceberg,"No, not interested / not applicable",,Interesting but premature,Idle Resource Auto-Termination: A script that identifies and decommissions underutilized resources automatically,Yes,
3/6/2026 8:41:29,Lead Data Architect / Principal Engineer,"10,000 – 49,999",Data Mesh: Decentralized architecture with domain-oriented data ownership and federated governance,Multi-Cloud (Strategic use of multiple providers),4,Inconsistent access control (IAM) across different domains,FinOps: Engineering teams are responsible for the unit cost of their workloads,4,Proprietary formats (reliance on specific engines like Redshift/BigQuery),Yes,Delta Lake,"No, but we are monitoring the topic",,Transformational (High Priority),Proactive Cost Anomaly Prevention: A tool that simulates query costs before execution rather than reporting them after,Yes,
3/6/2026 15:19:04,VP of Engineering / Infrastructure,"50,000 – 99,999","Data Lake: Centralized storage of raw data (Schema-on-Read), separate from compute",Hybrid Cloud (On-premise + Cloud),4,Ensuring regulatory compliance (GDPR/HIPAA) across independent teams,FinOps: Engineering teams are responsible for the unit cost of their workloads,4,Egress fees (cost of moving data),We are currently evaluating them,Apache Hudi,We are currently evaluating,Gaia-X,Low priority,Idle Resource Auto-Termination: A script that identifies and decommissions underutilized resources automatically,Yes,
3/6/2026 17:02:37,Head of Data Governance / Security,"5,000 - 9,999","Data Lake: Centralized storage of raw data (Schema-on-Read), separate from compute","Single Cloud (100% on AWS, Azure, or Google Cloud)",4,Lack of visibility into who is accessing what data,"Reactive: We analyze bills at the end of the month and investigate spikes (""Bill Shock"")",5,Data Gravity (the volume of data is too massive to move),No,,"No, not interested / not applicable",,Not relevant,Idle Resource Auto-Termination: A script that identifies and decommissions underutilized resources automatically,Maybe,
3/7/2026 18:26:11,Lead Data Architect / Principal Engineer,"100,000+",Legacy/Monolithic: On-premise Enterprise Data Warehouses (EDW) with rigid schemas,"Single Cloud (100% on AWS, Azure, or Google Cloud)",5,Ensuring regulatory compliance (GDPR/HIPAA) across independent teams,Automated: Costs are optimized in real-time by the platform,1,We are happy with a single vendor and do not wish to move,No,,"No, not interested / not applicable",,Low priority,Automated Policy Propagation: A tool that automatically translates high-level governance rules into technical policies across distributed data products,Maybe,
3/9/2026 6:33:18,CTO / CIO / CDO / CEO,"5,000 - 9,999","Data Lake: Centralized storage of raw data (Schema-on-Read), separate from compute","Single Cloud (100% on AWS, Azure, or Google Cloud)",3,Inconsistent access control (IAM) across different domains,"Proactive: We use quotas and budget alerts, but optimization is manual",3,Proprietary formats (reliance on specific engines like Redshift/BigQuery),No,,"No, but we are monitoring the topic",,Interesting but premature,Idle Resource Auto-Termination: A script that identifies and decommissions underutilized resources automatically,Maybe,
3/9/2026 8:09:13,Lead Data Architect / Principal Engineer,"5,000 - 9,999",Lakehouse: Unified architecture supporting ACID transactions and combined BI/ML workloads,"Single Cloud (100% on AWS, Azure, or Google Cloud)",4,Inconsistent access control (IAM) across different domains,"Proactive: We use quotas and budget alerts, but optimization is manual",4,Egress fees (cost of moving data),We are currently evaluating them,Delta Lake,"No, not interested / not applicable",,Interesting but premature,Idle Resource Auto-Termination: A script that identifies and decommissions underutilized resources automatically,Yes,
3/9/2026 8:52:41,VP of Engineering / Infrastructure,"50,000 – 99,999",Legacy/Monolithic: On-premise Enterprise Data Warehouses (EDW) with rigid schemas,Hybrid Cloud (On-premise + Cloud),5,Ensuring regulatory compliance (GDPR/HIPAA) across independent teams,"Reactive: We analyze bills at the end of the month and investigate spikes (""Bill Shock"")",5,Proprietary formats (reliance on specific engines like Redshift/BigQuery),No,,"No, but we are monitoring the topic",,Interesting but premature,Idle Resource Auto-Termination: A script that identifies and decommissions underutilized resources automatically,Maybe,
